,年份,电影名,票房
619,2017,爱情开始的地方之遇见,5.2
620,2017,六人晚餐,227
621,2017,艺术也疯狂,40.8
622,2017,我的青春你来过,4.3
623,2017,异形：契约,30996.4
624,2017,胡杨的夏天,465.3
625,2017,52赫兹，我爱你,132.7
626,2017,我们停战吧,12.7
627,2017,中国推销员,1007.7
628,2017,十七岁的雨季,26.2
629,2017,女人永远是对的,183
630,2017,重返·狼群,3284.2
631,2017,借眼,470.6
632,2017,冈仁波齐,10004.3
633,2017,雄师,1713.1
634,2017,缉枪,1643.6
635,2017,变形金刚5：最后的骑士,154561.8
636,2017,青春逗,111.5
637,2017,原谅他77次,7484.5
638,2016,我不做大哥好多年,756.7
639,2017,猪太狼的夏天,1.4
640,2017,反转人生,6937.6
641,2017,逆时营救,20069.9
642,2017,仙球大战,978
643,2017,撞邪31号,234.6
644,2017,冯梦龙传奇,173.3
645,2017,再见时光,12.4
646,2017,不败雄心,1.2
647,2017,宽恕,7.1
648,2017,血战湘江,7285.8
649,2017,海鹰战警,24.1
650,2017,乡关何处,217.4
651,2017,明月几时有,6283.5
652,2017,牧野传奇,6.3
653,2017,与君相恋100次,1343.2
654,2017,京城81号2,21802.9
655,2017,神偷奶爸3,103780.4
656,2017,绝世高手,10086
657,2017,秘果,792
658,2013,伊犁河谷,13.3
659,2017,青春逗,319.2
660,2017,北纬30度之爱,11.1
661,2014,梵蒂冈美术馆3D,78
662,2015,佛罗伦萨与乌菲兹美术馆3D,83.2
663,2017,青禾男高,3030.5
664,2017,苏州少年横漂记,1.4
665,2017,悟空传,69653.3
666,2017,大护法,8759.8
667,2017,喵星人,4459.8
668,2017,爱爱囧事2,0.6
669,2017,片甲不留,17.7
670,2017,山无棱 天地合,5.2
671,2017,深夜食堂2,1387.3
672,2017,绣春刀：修罗战场,26569.2
673,2017,闪光少女,6466.2
674,2017,父子雄兵,12519.2
675,2017,阿唐奇遇,3037.4
676,2017,谜域之噬魂岭,91.1
677,2017,战刀屠狼,14.4
678,2017,绿野仙踪之奥兹国奇幻之旅,904.4
679,2017,让爱活下去,27.5
680,2017,战狼2,567868.8
681,2017,建军大业,40296.5
682,2017,豆福传,1590.5
683,2017,大耳朵图图之美食狂想曲,4247.6
684,2017,玲珑井, &#8211;
685,2017,夜半凶铃,213.1
686,2017,神灵寨,8.7
687,2017,三生三世十里桃花,53453.6
688,2017,谁是球王,98.3
689,2017,龙之战,5620.6
690,2017,我是马布里,889.2
691,2017,大象林旺之一炮成名,326.6
692,2017,玩偶奇兵,3129.3
693,2017,原罪的羔羊,11.7
694,2017,诡井,103.3
695,2017,荒野加油站,18.5
696,2017,心理罪,30387.7
697,2017,侠盗联盟,23687.2
698,2017,鲛珠传,11358.2
699,2017,地球：神奇的一天,4777.6
700,2017,隐隐惊马槽,4
701,2017,二十二,17037.1
702,2017,杀破狼·贪狼,52157.3
703,2017,破·局,6451
704,2017,十万个冷笑话2,13363.2
705,2015,铁血残阳—在刺刀和藩篱下（重映）,11.6（总计）
706,2011,紫宅（重映）,1054.5（总计）
707,2017,我是谁的宝贝,110.9
708,2017,恐怖毕业照2,243.7
709,2017,皮绳上的魂,326.6
710,2017,赛尔号大电影6：圣者无敌,10325.8
711,2017,绝技情缘之艺魂,53
712,2017,顺德人家之合家欢,8.6
713,2017,星际特工：千星之城,40919.8
714,2017,极盗车神,10871.3
715,2017,赛车总动员3,13704.7
716,2016,海边的曼彻斯特,817
717,2017,胖女不愁嫁,77.5
718,2017,七天,1.1
719,2017,真爱禁区,10
720,2017,杜丽娘, 5.3
721,2017,一路向爱,104.6
722,2017,一家两口,0.5
723,2017,情迷意大利,&#8211;
724,2017,桃花梦,0.8
725,2017,茶盗,2
726,2017,租婚男女,5.3
727,2017,草原英雄小姐妹,0.1
728,2017,黑白迷宫,3311.3
729,2017,二次初恋,2611.5
730,2017,敦刻尔克,33960.2
731,2017,银魂,8135.7
732,2017,蜘蛛侠：英雄归来,77413.8
733,2017,声之形,4450.4
734,2017,失业生,609.7
735,2017,猪太狼的夏天,1.6
736,2017,诡域新娘,375.4
737,2017,蜜月计划,55.5
738,2017,逆生,55.2
739,2017,怪物岛,483.3
740,2017,乔乔的魔法,1.9
741,2017,爱廉说,1.1
742,2017,看不见的客人,17240.3
743,2017,猩球崛起3：终极之战,73978.2
744,2017,刀剑神域：序列之争,5387.4
745,2017,会痛的十七岁,764.8
746,2017,阿婆的槟榔,3
747,2017,旗袍先生, &#8211;
748,2017,纹身师,38
749,2017,这一刻，我要世界看见,1.4
750,2017,画室惊魂,153.9
751,2017,娘子军传奇,43.1
752,2017,理查大冒险,233.5
753,2017,王牌保镖,13967
754,2017,纯洁心灵·逐梦演艺圈,226.3
755,2017,谜证,9.1
756,2017,捍卫者,1032.1
757,2017,请勿靠近,20.8
758,2017,惊天解密,385.5
759,2017,遗忘空间,13.8
760,2017,天梯：蔡国强的艺术,202.8
761,2017,初恋时光,9
762,2017,托马斯大电影之了不起的比赛,2129.7
763,2017,魔都爱之十二星座,8
764,2017,疯狂旅程,16.2
765,2017,缝纫机乐队,45671.2
766,2017,空天猎,31758.7
767,2017,追龙,57465.2
768,2017,英伦对决,53695.2
769,2017,羞羞的铁拳,220174.9
770,2017,极致追击,1754.5
771,2017,昆塔：反转星球,5035.5
772,2017,钢铁飞龙之再见奥特曼,4071.4
773,2017,大熊猫传奇,13.3
774,2017,魔力果乐岛之拯救行动,5.3
775,2017,母亲的肖像,11.2
776,2017,光影之战,5.7
777,2017,那一场呼啸而过的青春,874.8
778,2017,怨灵2,1142.8
779,2017,天才枪手,27065.5
780,2017,回到火星,959.1
781,2012,大闹天宫（重映）,5105.2（总计）
782,2017,情遇曼哈顿,1348.1
783,2017,我的妈呀,34.2
784,2017,你往哪里跑,99.5
785,2017,笔仙咒怨, &#8211;
786,2017,十八洞村,10692.4
787,2017,我的爸爸是森林之王,5606.3
788,2017,了不起的小家伙们,12.8
789,2017,南哥,10.4
790,2017,六年，六天,1146.2
791,2017,时间去哪儿了,841.6
792,2017,王牌特工2：黄金圈,47385.1
793,2017,蝴蝶公墓,333.2
794,2017,火力全开,240.1
795,2017,恐怖电影院2,265
796,2017,咕噜咕噜美人鱼（重映）,1390.7（总计）
797,2017,胡杨的夏天,464.8
798,2017,大爱无言,10.1
799,2017,坑爹游戏,178.9
800,2017,镜头前的女人,1.4
801,2017,刺客2,0.1
802,2017,童话先生,21.4
803,2017,爱情邮局,8.4
804,2017,全球风暴,43379.9
805,2017,常在你左右,4684.1
806,2017,因为爱情,225.1
807,2017,银翼杀手2049,7693.8
808,2017,红剪花,2
809,2017,灵魂当铺之时间典当, &#8211;
810,2017,我的老兵爷爷,0.5
811,2017,雷神3：诸神黄昏,74302.9
812,2017,相爱相亲,1824.2
813,2017,密战,7945.4
814,2017,七十七天,10361.7
815,2017,我们全家不太熟,9.8
816,2017,识色，幸也,48.3
817,2017,宝贝特攻,18.8
818,2017,东方快车谋杀案,23003.5
819,2017,狂兽,6774.1
820,2017,烽火芳菲,2944.4
821,2017,天生不对,2429.1
822,2017,兄弟，别闹！,1208.8
823,2017,猪太狼的夏天,28.2
824,2017,精灵宝可梦：波尔凯尼恩与机巧,2561.7
825,2017,正义联盟,69011
826,2017,恐袭波士顿,2105.5
827,2017,暴雪将至,2713.2
828,2017,降魔传,9165.1
829,2017,深宫怨灵,368.8
830,1986,英雄本色（重映）,3258.5（总计）
831,2017,侗族大歌,17
832,2017,恋爱之瘾,0.8
833,2017,迷情N小时,8.1
834,2017,不成问题的问题,777.1
835,2017,追捕,10598.1
836,2017,引爆者,5024.1
837,2017,推理笔记,1022.2
838,2017,嘉年华,2220.1
839,2017,海阔天空,0.7
840,2017,寻梦环游记,121183.1
841,2017,刺杀盖世太保,392.3
842,2017,七月半3：灵触第七感,292.2
843,2017,炸裂青春,83.7
844,2017,灿烂这一刻,42.5
845,2017,女巫斗恶龙,13.9
846,2017,北纬二十八度,30.6
847,2017,垫底联盟,429.8
848,2017,星期8,9.2
849,2017,水晶争夺战,1.7
850,2017,你在哪,204.7
851,2017,烟花,7859
852,2017,至暗时刻,3731.3
853,2017,钟馗传奇之岁寒三友,40.1
854,2017,维京：王者之战,1410.8
855,2017,末日重启,113.9
856,2017,夺金四贱客,353.4
857,2017,笔仙咒怨,579.6
858,2017,相声大电影之我要幸福,1784.7
859,2017,这就是命,5439.9
860,2017,冒牌监护人之寻宝闹翻天,198.4
861,2017,巨额来电,5581.4
862,2017,勇往直前,902.5
863,2017,假如王子睡着了,545.7
864,2017,帕丁顿熊2,20637.9
865,2017,双面劫匪,323.1
866,2017,北平以北,79.1
867,2017,鲨海,3869.4
868,2017,至爱梵高·星空之谜,6870.1
869,2017,疯狂特警队,497.4
870,2017,金珠玛米,185.4
871,2017,逃离现场,13
872,2017,墨玉太极,6.1
873,2017,奇门遁甲,29964
874,2017,不倒侠, &#8211;
875,2017,热血时代,3.5
876,2017,爱的帕斯卡,0.7
877,2017,圣诞奇妙公司,489.3
878,2017,芳华,1422413
879,2017,惊魂七夜,84.6
880,2017,妖猫传,52998.2
881,2017,心理罪之城市之光,22406.2
882,2017,机器之血,30529.3
883,2017,解忧杂货店,22406.2
884,2017,二代妖精之今生有幸,29207.3
885,2017,妖铃铃,36292.9
886,2017,远亲,3.6
887,2017,前任3：再见前任,194049.4
888,2017,咖啡风暴,101
889,2017,小猫巴克里,1207.4
890,2017,阳光夏令营,5.6
891,2017,咕噜咕噜美人鱼2,1060.3
892,2017,星球大战8：最后的绝地武士,26782
893,2018,醉佳导演,4.4
894,2018,我来过,1.5
895,2015,尼斯·疯狂的心,12.6
896,2018,只想好好和你在一起,5
897,2018,大世界,261.8
898,2018,无问西东,75387.8
899,2018,迷镇凶案,567.3
900,2018,勇敢者游戏：决战丛林,49165.9
901,2018,太空救援,1684.9
902,2018,卧底巨星,3925.5
903,2018,时空终点,41.9
904,2016,青蛙总动员,1255.6
905,2018,我的影子在奔跑,33.7
906,2018,芒刺,4.4
907,2018,英雄本色2018,6299
908,2018,第一夫人,213
909,2018,奇迹男孩,19140.6
910,2018,神秘巨星,76662.3
911,2018,谜巢,4943.7
912,2018,公牛历险记,17187
913,2018,天使的声音,5.4
914,2018,敦煌不了情,24.7
915,2018,大雪冬至,28.1
916,2018,移动迷宫3：死亡解药,31510.1
917,2018,绝命时钟2:22,225.4
918,2018,24小时：末路重生,975.3
919,2018,五度空间,17.7
920,2018,半个月亮,1.8
921,2018,麦兵兵之夺宝联“萌”,594.9
922,"<span style=""color: #ff0000;"">2016</span>",我是哪吒（重映）,993.9（总计）
923,2018,梭哈人生,10.8
924,2018,马戏之王,10114.7
925,2018,时空偷渡少女,139.8
926,2018,毕业旅行笑翻天,21.9
927,2018,忌日快乐,6120.8
928,2018,南极之恋,23418
929,2018,盲·道,44
930,2018,莫斯科陷落,230.5
931,2018,小马宝莉大电影,4675.1
932,2018,金龟子,2746.7
933,2018,坏爸爸,2445.4
934,2018,狗狗的疯狂假期,1057.6
